request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_193,172.95,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-17,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1000 available."
request_194,59865.46,not_affordable,not_recommended,none,2025-08-23,none,The full INR 132800 request cannot be completed safely within the next 90 days without breaking the INR 113600 minimum balance you want to keep.
request_195,1170.4,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-06,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. This leaves at least EUR 700 available."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.3 today. This leaves at least EUR 500 available over the next 90 days.
request_197,27048160.88,not_affordable,not_recommended,none,,none,The full IDR 50939000 request cannot be completed safely within the next 90 days without breaking the IDR 26245900 minimum balance you want to keep.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This leaves at least INR 124300 available over the next 90 days.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 7 September 2024. This leaves at least IDR 25359500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This leaves at least IDR 20114600 available over the next 90 days.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This leaves at least IDR 17304500 available over the next 90 days.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This leaves at least INR 147800 available over the next 90 days.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1400 available."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today. This leaves at least EUR 1300 available over the next 90 days.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This leaves at least IDR 13994300 available over the next 90 days.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,7206.1,not_affordable,not_recommended,none,2026-07-10,none,The full ZAR 11830 request cannot be completed safely within the next 90 days without breaking the ZAR 13600 minimum balance you want to keep.
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Pay IDR 4413000 today. This leaves at least IDR 10470700 available over the next 90 days.
request_209,4320.11,not_affordable,not_recommended,none,,none,The full ZAR 56914 request cannot be completed safely within the next 90 days without breaking the ZAR 18400 minimum balance you want to keep.
request_210,1115.14,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-10,none,"Use 3 installments of USD 471.48, starting 6 April 2026. This leaves at least USD 2000 available."
request_211,494.34,not_affordable,not_recommended,none,2024-09-15,none,The full EUR 1788.6 request cannot be completed safely within the next 90 days without breaking the EUR 1500 minimum balance you want to keep.
request_212,15879048.84,not_affordable,not_recommended,none,,none,The full IDR 71934000 request cannot be completed safely within the next 90 days without breaking the IDR 29579800 minimum balance you want to keep.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 21 January 2026. This leaves at least USD 2100 available."
request_214,66499.32,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-06,none,"Use 2 installments of INR 36270, starting 4 December 2024. This leaves at least INR 174900 available."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 9 May 2025. This leaves at least ZAR 15700 available."
request_216,727.11,not_affordable,not_recommended,none,,none,The full USD 3332.4 request cannot be completed safely within the next 90 days without breaking the USD 1800 minimum balance you want to keep.
request_217,21821.85,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12889.07, starting 19 March 2024. This leaves at least ZAR 26800 available."
request_218,32002064.8,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Use 3 installments of IDR 21195893.33, starting 7 August 2025. This leaves at least IDR 34477200 available."
request_219,1124.78,not_affordable,not_recommended,none,,none,The full EUR 1673.1 request cannot be completed safely within the next 90 days without breaking the EUR 1100 minimum balance you want to keep.
request_220,146.19,not_affordable,not_recommended,none,,none,The full EUR 3118.5 request cannot be completed safely within the next 90 days without breaking the EUR 1100 minimum balance you want to keep.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This leaves at least INR 81500 available over the next 90 days.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This leaves at least ZAR 27300 available over the next 90 days.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5370040, starting 4 February 2025. This leaves at least IDR 22187600 available."
request_225,13370213.3,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,"Use 3 installments of IDR 7647120, starting 20 July 2026. This leaves at least IDR 17670700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This leaves at least INR 209400 available over the next 90 days.
request_227,16351.08,not_affordable,not_recommended,none,,none,The full INR 259700 request cannot be completed safely within the next 90 days without breaking the INR 62900 minimum balance you want to keep.
request_228,6272084.47,not_affordable,not_recommended,none,,none,The full IDR 63327000 request cannot be completed safely within the next 90 days without breaking the IDR 26191200 minimum balance you want to keep.
request_229,672.52,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-03-17,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1000 available."
request_230,2205.04,not_affordable,not_recommended,none,,none,The full EUR 3537.6 request cannot be completed safely within the next 90 days without breaking the EUR 2000 minimum balance you want to keep.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,"Use 3 installments of ZAR 12378.08, starting 6 January 2026. This leaves at least ZAR 24300 available."
request_232,1014.18,not_affordable,not_recommended,none,2024-06-15,none,The full EUR 1970.1 request cannot be completed safely within the next 90 days without breaking the EUR 2400 minimum balance you want to keep.
request_233,497854.02,not_affordable,not_recommended,none,,none,The full IDR 6241000 request cannot be completed safely within the next 90 days without breaking the IDR 10365700 minimum balance you want to keep.
request_234,278.66,not_affordable,not_recommended,none,,none,The full EUR 1213.3 request cannot be completed safely within the next 90 days without breaking the EUR 700 minimum balance you want to keep.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 today. This leaves at least USD 700 available over the next 90 days.
request_236,9408210.03,not_affordable,not_recommended,none,,none,The full IDR 52383000 request cannot be completed safely within the next 90 days without breaking the IDR 16768600 minimum balance you want to keep.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This leaves at least IDR 22431500 available over the next 90 days.
request_238,270.64,not_affordable,not_recommended,none,,none,The full USD 663.6 request cannot be completed safely within the next 90 days without breaking the USD 700 minimum balance you want to keep.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,17966.38,not_affordable,not_recommended,none,,none,The full INR 101200 request cannot be completed safely within the next 90 days without breaking the INR 52800 minimum balance you want to keep.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 17 March 2024. This leaves at least IDR 19252000 available."
request_242,0,not_affordable,not_recommended,none,,none,The full EUR 1966.8 request cannot be completed safely within the next 90 days without breaking the EUR 600 minimum balance you want to keep.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This leaves at least ZAR 19900 available over the next 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. This leaves at least ZAR 45900 available over the next 90 days.
request_245,50267.64,not_affordable,not_recommended,none,2025-11-14,none,The full INR 128500 request cannot be completed safely within the next 90 days without breaking the INR 94600 minimum balance you want to keep.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 3 April 2026. This leaves at least ZAR 39300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay EUR 1059.3 today. This leaves at least EUR 1300 available over the next 90 days.
request_248,1220.12,not_affordable,not_recommended,none,2025-02-11,none,The full USD 1965.6 request cannot be completed safely within the next 90 days without breaking the USD 1300 minimum balance you want to keep.
request_249,253.55,not_affordable,not_recommended,none,,none,The full USD 643.2 request cannot be completed safely within the next 90 days without breaking the USD 600 minimum balance you want to keep.
request_250,17762.27,not_affordable,not_recommended,none,,none,The full ZAR 124278 request cannot be completed safely within the next 90 days without breaking the ZAR 35300 minimum balance you want to keep.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,The full EUR 1513.6 request cannot be completed safely within the next 90 days without breaking the EUR 1300 minimum balance you want to keep.
request_252,7115049.09,not_affordable,not_recommended,none,,none,The full IDR 28082000 request cannot be completed safely within the next 90 days without breaking the IDR 15152200 minimum balance you want to keep.
request_253,1636.63,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-03-17,none,"Use 3 installments of EUR 984.6, starting 21 March 2024. This leaves at least EUR 2300 available."
request_254,1208.68,affordable_later,wait,2025-09-13:3535.2,2025-09-13,none,Pay USD 3535.2 in full on 13 September 2025. Paying earlier would take the balance below the USD 2500 minimum.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This leaves at least IDR 9813900 available over the next 90 days.
request_256,173459.81,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-10,none,"Use 3 installments of INR 75816, starting 10 June 2024. This leaves at least INR 168600 available."
request_257,582.86,not_affordable,not_recommended,none,2025-11-15,none,The full USD 1352.4 request cannot be completed safely within the next 90 days without breaking the USD 1600 minimum balance you want to keep.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 today. This leaves at least USD 500 available over the next 90 days.
request_259,529.3,not_affordable,not_recommended,none,2024-09-14,none,The full EUR 935 request cannot be completed safely within the next 90 days without breaking the EUR 600 minimum balance you want to keep.
request_260,10742765.07,not_affordable,not_recommended,none,,none,The full IDR 52079000 request cannot be completed safely within the next 90 days without breaking the IDR 20727700 minimum balance you want to keep.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 today. This leaves at least EUR 1500 available over the next 90 days.
request_262,0,not_affordable,not_recommended,none,,none,The full IDR 9236000 request cannot be completed safely within the next 90 days without breaking the IDR 31018500 minimum balance you want to keep.
request_263,9323.96,not_affordable,not_recommended,none,,none,The full ZAR 51546 request cannot be completed safely within the next 90 days without breaking the ZAR 24100 minimum balance you want to keep.
request_264,26863.73,not_affordable,not_recommended,none,,none,The full INR 111300 request cannot be completed safely within the next 90 days without breaking the INR 59500 minimum balance you want to keep.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. This leaves at least INR 189700 available over the next 90 days.
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available."
request_267,1907.62,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-08,none,"Use 3 installments of EUR 667.33, starting 8 January 2026. This leaves at least EUR 1500 available."
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-06-14,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1400 available."
request_269,6118,not_affordable,not_recommended,none,,none,The full ZAR 15490 request cannot be completed safely within the next 90 days without breaking the ZAR 23100 minimum balance you want to keep.
request_270,288.96,not_affordable,not_recommended,none,,none,The full USD 3028.8 request cannot be completed safely within the next 90 days without breaking the USD 1400 minimum balance you want to keep.
request_271,27021.89,affordable_later,wait,2024-09-19:91300,2024-09-19,none,Pay INR 91300 in full on 19 September 2024. Paying earlier would take the balance below the INR 58200 minimum.
request_272,7141657.43,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-14,none,"Use 3 installments of IDR 4709466.67, starting 12 February 2025. This leaves at least IDR 7508600 available."
request_273,12228399.99,affordable_with_plan,partial_payment,2026-04-07:12228399.99|2026-04-14:3632600.01,2026-04-14,none,Pay IDR 12228399.99 today and IDR 3632600.01 on 14 April 2026. This leaves at least IDR 18774600 available throughout.
request_274,2616.62,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-09,none,"Use 3 installments of EUR 940.75, starting 4 December 2024. This leaves at least EUR 1800 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This leaves at least IDR 12760100 available over the next 90 days.
